p1,p2,p3,n_pois,business_ids
85,28,116,6,x7_JxtIkM4dbfTiz8nLGwg|TYUI6xRfoR23ssBZr7dLaA|TEFXe1XxjyC_0kahKRN5PQ|XYCH5V3qyauP6WQxwoxuaw|lLhyi9I9UTwwdDJj3Dg1AQ...
63,58,17,6,Js3m_GdqNUGnEgXJ8WMtfQ|2QvkOHC-pWGiAmvQ9xX64Q|IZZ7J14VnJGyUqYH1tgT6w|COSC9JC0Vjr89CaTZuPkUA|wb9P0ipW4ysbgNA9jIl3bg...
93,109,116,5,kZ4DXR3ewWVb1t6zRclMTQ|om5AVaS2H5WRtxQlwBIlUw|PvIApbI6RieHTXiDIRyV7Q|5uS6ae15iFVUN3OdEiMJnw|qsKQTMcj7lefdJauDdyqvg
16,116,34,4,uY87d0gwcE2kRULQ-p4qlQ|kEK6g5wWe5QX9d-5ofsHbA|BRwIWvGSetfDbVh_3p3juA|MFbUSWzVCt5l6nTHkU7Z9A
67,13,81,4,-iXHEMcqfMXvRjbKFh3IYA|yn6Sa3nb7piagH95bzVvlg|mIhTKiCFvASrx1IrNT6Ktw|ljbmEIJs2Ta1yGxt18YuhQ
7,97,6,4,taBh2XO2QtxQMJBoNOyBaA|NSTkwzQwAheuuTCjCvRVmA|9VHwS0FTeh66NdDbXGvQiA|sRnin9DQOizmonQ2NugLww
62,87,55,4,nRvV00Vt4lpXZuEGj7qofw|fZkmKabQ1WjcBZeDyw3XVA|3RWFtd2511f1sSOrNONUqA|z9Hwugqo1VIn2v0C0JfiSA
115,18,31,4,lZZLsuZSkLoicyqIE0XUEw|tnEj-BHYu4I3e8lr0TWlvw|kCCIDwzaLw7cVghe3Bcz6g|eXObTr9hH52hN51dkNKfXQ
104,108,75,4,ywXa1pDqHPe9tOPx0yJFUg|9xW7LsJpyhVZFRb6z9xorg|jssubXBNkiSJIhbKuDtmpQ|krTxH1a9kzWgwvt3PVH8pQ
90,92,17,4,HwZG4PC_g_MHGogpYdAd0Q|S1jbgqYeZHJCG0xeUPcD8Q|Rq8ZbTeHxEodVDvoyId3Ug|6qizrV2n_9jxxKa2t5dM1A
67,39,81,4,qQmdJFMWoDe2T2lbacBE8g|1MSOoGQuDbj6C5euUoS-hA|BvGL0uHI5laa5hKIsnPbNQ|qaW-xH2tjfG0bUisSSdfAA
58,40,82,4,kFdR21vPWa26COwiO7kOSQ|OuXwt35S4Fx3ZpeDGACSdg|F2PecFeTI-I9FTWlQCjMGg|jX1kNhinDzathM9gLumIjA
85,85,66,4,6SiAjj0CCqx0zI66IV151g|TkusaEoOOHpZydDuTmo7og|X-FIZRVS5pPIbJq8KpTqbA|tOXSEWjZ9XjTkl1NU3uAcw
100,106,96,4,CgjtA5DXxQBqWSvcC8zl6Q|OevgFa-maNijC2anmt1_mQ|69O7BOmGCpfZ9tzQdLtnjw|L4KmO9khg-x19gXaDhgsLA
67,58,51,3,MfyUK58sdUokMdIZNdem0w|rbT-MIIvpSQYmnADue9xKA|kvvQoiwCk3TzyYGh9B7m_Q
67,39,94,3,_QohBRBxWuwlIUuHj5_fZQ|kUTmOqti8IaI3wF2hZBPBQ|zpeKRRCjRpmwT4ODA-RfLg
44,108,51,3,rh6O8NtKJUhqZ0G2Pkpj2Q|6smGb7xv5fDbBsLgW1WC2w|-kfHz1kimX62QEceFkkB_g
86,51,85,3,dO8mWdDY04Bxejg2AQ6mew|wlkwDTzSlUl36iPt7v3yGA|Wd7CqWk-owVbcLzYNwDysQ
72,125,8,3,QsNy5dd0Xxxxo3TkAIUsKA|hftQ9X-z816C1ikF8DgD1w|bfh3U-F-TFtP1cC_ExFriQ
25,58,124,3,eBxc95u_Gcs9bLST0UntOQ|E3WUDYEvCVMplIFMgeN1xw|2QaNH5-RCRNIkToUOBc22Q
42,51,92,3,PqL3vbxgvdqJdqQsYNN1ug|2Sauye5iyJReYj1Odc3TGw|8La5f_qz3LlTD_GipZTYuw
113,97,116,3,fWbQiSAErNcznezzkfCdvg|LHs8ukeOPiyWtq-7UU-8MQ|pJX-5-OV9ExL3l1w6O18xw
3,58,17,3,kZtl_NJjUnlIQgzFrBhXyQ|8r_n8JdKQ0gePm2neSkL7A|fApb6LKfOdy5u7MP0hsHKg
89,104,82,3,R2klZfmH7UShLxiS_s9OXg|dGXnIfdT_8IJZbHF_-i-Sg|T6hd8GrA8chqmy7dt3l_Lw
8,58,59,3,2ZgUocEPJfjlw1VpAuu2rw|VB0nKjMvIliHorXE6BqscA|Cd-hiDiuj7TFv8b_Nln5aA
113,46,8,3,mePprBwiBvyHLAFF8pMxOA|HtHX6grCT_5TG1ijQFZGNA|QWRby9pkeYl83awSX65Rag
89,87,6,3,uMnX56otAVnY0kg41XcerA|szgQezWlwNJ42hdQrw-rUw|ak-RiYgUZzM_90c8ONWFzw
77,66,6,3,nbXZJvu1coClUy0jZ2acoQ|TjOySV6eEL7VaaFAIoTPIg|14al5SlDh3A4RzCDhUfUCg
77,115,48,3,9L0z0ivnpf_rLVxUl95duw|mte3G03yzukqFQVVAXgL_w|UvwMaTj3ExHbQA_Kj1uahg
13,18,38,3,brBFoDO4TnOhelZ5-KGZEg|pbwLErRLZFlRlSn95CrnTg|hJxWsWfGT54fKI7pmdn7CQ
117,99,96,3,-kOUmMiIimNSBIDdFN0x-Q|mjMJxBpW_Pg1b4duNPJsTA|7yR4oQcapZBKCkRLB3Isig
70,125,124,3,mZ_d2i9bb3cH4_Ne0p7ldg|C36ldTawd5V7DBiK5G9D8A|s_unpSeR066EBOLVquoWGQ
56,84,6,3,2nF2syYoD5VBFk01le6NkA|wfjqxgLSsLtyzswzQBziSw|PnT9JSoMirpKzY6TnG1HhQ
43,20,116,3,vt0Hqc2iDd2YrIc-k4rAAA|k4gN_hhUo-UD5HFmg8RHcA|pOiQtuS_tH8qp_4Dq_J84Q
69,100,124,3,YxWiv24PHCseiVvGlqKFrQ|U3grYFIeu6RgAAQgdriHww|FpNhzu3w0XgyedhOLDuK8g
100,6,96,3,778HnbBHhNX7n041p2EAWw|jEVF4sl8ytf3lnKyfgnI8A|r__4cxZAlloPl9p8nwU7yw
63,39,124,3,cAbdvzqtFLaAAMFIyPf2AA|AXC__4yZrn-N3BT7-2bV_Q|4D7QDfPOsSPfKxBi3gs_qQ
60,71,17,3,Tpr8CltepNzpRpQC2JM4pQ|SWP5Cck3Hd_g-KWfVkF_IQ|D5n8XvQqC_vzOCi63wNChQ
89,67,94,3,4eBoPWRT7t8Sot-dwl3N-Q|sYS52Y7WfjLg3Lo_GKDm6A|sEUD2cX25XqHSBbmFqcrUA
4,95,55,3,6iqX32smuqP9CLMZubUMGg|javW5SlkGjEbynYd_-EfLA|QwYRo9G4GsSRG3zvxCuFHw
104,29,75,3,I0jFTYVDs-WHwKR2XHQlRA|Nq4k3dnfiOMT_UrOL9xO-A|O2lFAWD2WXXx5EKkzPutWQ
15,85,82,3,6IlR-3BtA1GISMljfRZfEw|pfl45YV5Us5NvDm5cLremw|svNB9xp0PWFKj6jDrCmRyw
0,42,94,3,tpRUwSO56F2xTxzE04jqhg|1a0cHufo-bV7K-tTXr-Elg|4yZ33oIbpbDKKbrxw01gyA
54,19,17,3,G8wRT1dpNhvPH7LsyS1XLw|-HCm7yAyNQKetrT0hq-LlA|MM4342cpZ3qKT31m5Jhd3w
10,39,116,3,W0hAAfpPXz6xngWv-hNbeA|Q7zOUnWQuNVnuCgC2q9HNg|ni3z9JfXecOGgdcpU6VWzA
48,58,35,3,L9CFXQbU79r6PK8Cy9aAgA|f3eve2cxUIzyanWnHdMtFQ|dinxDxiWFUkEpxpIzaGHMQ
30,108,35,3,syuKX2pH3JJhOOppzNI6SA|Ow29cE1wS-_LrfN7jEuDPA|lZ44dxn1TCzJaVBa8Ze8DQ
95,58,35,3,FE5R_F7svUphKeUWuxA0JA|BwUWmUFKCuJ-nN9vFwMt2Q|Xw_5QkLTyIEg6Hs-kXGNbg
32,13,48,3,2yHl6wl1iFa_Jo_SZcmSuw|7rU2gIQ1zyVUW9GNt2gVgQ|boTwyOpii_MfFwwo6gPp6w
0,13,116,3,KVNoXEIs-BLThEd2jh_Wtw|Ji3_qwy36vG5_2Q4EONE_w|oQlk24DRu1-COxjkOgJjtg
0,40,102,3,Axnsh0Rq7ApNauBVMeRhjQ|YLfXCCCVbUNPB9ZnuFJSpQ|hkTSNqeVD0U8-nVGojWL3A
33,108,124,3,3VrqxApK-iwfRohlAuIt0g|gdEZfd6RFXYmmXX71RDvbA|k6Ptrc94R-Mk549pDEVTFA
74,63,113,3,PBXxrP47r1cFiUD9Tm7uPA|WshEBfK1zO4Px2z7JpEb-w|8STwsocW1ar2SeXPYTSeWQ
48,108,51,3,tA1IXs5GeNAqnJgaD4ajZA|LgSEHsI9DKyeGVGtn61tEg|_vLfidpLDYHfZ_KnFZ75Lg
63,60,17,3,C-aATB7SbuwMBPN5dgjghQ|JjmmSW_QQh2Db4fuIEMATA|i5C6RVgr03HSrgCl8oa1Fg
23,116,51,3,ZeGBAsyE8qcJsnWtmGWeBQ|hJr6xw5Jn20ag2rHopI4eg|eoH4nxBTSu6kf-41pWDwJQ
115,105,31,3,ZRYJpwDcGut_SXWzc32I_Q|DSOsA4nDN83Zb5EHWrA_LA|LEiSOWarW5pu2bUIy6j1gg
42,92,125,3,HKpj4WhMCtcpkaMhBtpACQ|49lnjHiM8u85lrGjd-T4jQ|-QUKuwoGTJRg-mOfHpM1hA
105,85,113,3,lmKb382_WPMU4svBenUwHA|5t5fKwgnfaT-ScmfTcxwHg|hDr_bt6MEwlGvGCCKzyzhg
87,83,116,3,hxyLNC3iTOzec99D9x0DFA|JADV6qSHhOGRqpS_7341Sw|08eBC31hXyGKKU2Tg20pow
115,94,1,3,XJH_895Em-NHtNovHTSyXA|LOd-7Xv74OmCtnzOvbSAKQ|LbJKeBM-2--c6VyM3Rt-Xg
63,27,75,3,cbkrO0zra1OiNGvtjw2igQ|eukRpR47MDH4XXfU_Dul9Q|me_-zWgGZATKrljrJ-jvKA
15,58,81,3,7j8rT3FZbXgL4k0DnXi2Mw|o5w6WfzeqpP8S_ewvy_pMA|5skL69RhjE0byYLjyqVG5w
23,60,96,3,vLT1KtrA9bWvjFOg-0xVIg|XHxAIQR-QAz6j1RMaz_J1A|CTmAWi-W8_Id00EjHF5Uwg
31,65,59,2,rHDn8wQTL8wRmS2CWSK_EQ|IReweLdjduBOuwmw7ZZNZw
117,78,116,2,2nk4hq2oRfym8ROQ5iS47g|r2IhvKZQ_wLR5mLBnPOilg
106,66,59,2,plfsNtG8t84FV43rKuwrzA|G4WFmJPXGChCf5BiOdplDA
